Info,Nome,Sesso,Categoria,Sotto_categoria,Colore,Prezzo_finale,Prezzo_originale,Sconto,Azienda
Dècolletè donna comodo in pelle blu abyss r30611z,r30611z,donna,decollete,decollete,abyss,125.0,125.0,0.0,Melluso
Dècolletè donna comodo in pelle nero r30611z,r30611z,donna,decollete,decollete,nero,125.0,125.0,0.0,Melluso
Décolleté donna in pelle nude e1301z,e1301z,donna,decollete,decollete,nude,139.9,139.9,0.0,Melluso
Décolleté donna in camoscio nero d5185w,d5185w,donna,decollete,decollete,nero,94.44,149.9,36.99799866577719,Melluso
Décolleté donna  in camoscio marrone x5100w,x5100w,donna,decollete,decollete,marrone,101.5,145.0,30.0,Melluso
Décolleté donna in camoscio nero x5216w,x5216w,donna,decollete,decollete,nero,108.5,155.0,30.0,Melluso
Décolleté donna in pelle nero d5072w,d5072w,donna,decollete,decollete,nero,81.84,129.9,36.99769053117783,Melluso
Décolleté donna in camoscio nero d5173w,d5173w,donna,decollete,decollete,nero,97.93,139.9,30.0,Melluso
Décolleté donna in pelle nero d5178w,d5178w,donna,decollete,decollete,nero,104.93,149.9,30.0,Melluso
Décolleté donna in camoscio sella d5185w,d5185w,donna,decollete,decollete,sella,94.44,149.9,36.99799866577719,Melluso
Décolleté donna con cinturino in pelle nero x5214w,x5214w,donna,decollete,decollete,nero,101.5,145.0,30.0,Melluso
Décolleté donna in pelle moro r35108w,r35108w,donna,decollete,decollete,moro,104.93,149.9,30.0,Melluso
Décolleté donna in pelle milk v5342,v5342,donna,decollete,decollete,milk,104.93,149.9,30.0,Melluso
Décolleté donna in pelle nero d5176w,d5176w,donna,decollete,decollete,nero,149.9,149.9,0.0,Melluso
Décolleté donna in pelle nero x5318w,x5318w,donna,decollete,decollete,nero,108.5,155.0,30.0,Melluso
Décolleté donna in pelle cipria d5186w,d5186w,donna,decollete,decollete,cipria,149.9,149.9,0.0,Melluso
Décolleté donna in vernice e camoscio marrone k91616w,k91616w,donna,decollete,decollete,marrone,83.93,119.9,30.0,Melluso
Décolleté donna in pelle blu notte d100z,d100z,donna,decollete,decollete,notte,129.9,129.9,0.0,Melluso
Décolleté donna slingback in tessuto argento d168zv,d168zv,donna,decollete,decollete,argento,149.9,149.9,0.0,Melluso
Décolleté donna con cinturino in camoscio nero d5126w,d5126w,donna,decollete,decollete,nero,97.93,139.9,30.0,Melluso
Décolleté donna in pelle nero e5115w,e5115w,donna,decollete,decollete,nero,118.93,169.9,30.0,Melluso
Décolleté donna in pelle nero 055004,055004,donna,decollete,decollete,nero,69.93,99.9,30.0,Melluso
Décolleté donna in camoscio bordo x5222,x5222,donna,decollete,decollete,bordo,101.5,145.0,30.0,Melluso
Décolleté donna in pelle nero d5096w,d5096w,donna,decollete,decollete,nero,81.84,129.9,36.99769053117783,Melluso
Décolleté donna in pelle nero k55233w,k55233w,donna,decollete,decollete,nero,62.93,89.9,30.000000000000004,Melluso
Dècolletè donna in pelle nero k59026w,k59026w,donna,decollete,decollete,nero,104.93,149.9,30.0,Melluso
Mocassino donna in camoscio blu notte x5320w,x5320w,donna,decollete,mocassino,notte,108.5,155.0,30.0,Melluso
Décolleté donna in pelle blu notte d5072w,d5072w,donna,decollete,decollete,notte,81.84,129.9,36.99769053117783,Melluso
Décolleté donna in camoscio bordo x5318w,x5318w,donna,decollete,decollete,bordo,108.5,155.0,30.0,Melluso
Décolleté donna in pelle nero e5138g,e5138g,donna,decollete,decollete,nero,125.93,179.9,30.0,Melluso
Décolleté donna cinturino incrociato in tessuto galassia argento e1631zv,e1631zv,donna,decollete,decollete,argento,159.9,159.9,0.0,Melluso
Décolleté donna slingback in pelle milk e1634zv,e1634zv,donna,decollete,decollete,milk,159.9,159.9,0.0,Melluso
Décolleté donna in pelle nero d100z,d100z,donna,decollete,decollete,nero,129.9,129.9,0.0,Melluso
Décolleté donna in camoscio nero d5125w,d5125w,donna,decollete,decollete,nero,97.93,139.9,30.0,Melluso
Décolleté donna in pelle blu notte d5125w,d5125w,donna,decollete,decollete,notte,97.93,139.9,30.0,Melluso
Décolleté donna con cinturino in pelle nero d5126w,d5126w,donna,decollete,decollete,nero,97.93,139.9,30.0,Melluso
Décolleté donna  in pelle nero d160zv,d160zv,donna,decollete,decollete,nero,149.9,149.9,0.0,Melluso
Décolleté donna in pelle blu notte d5173w,d5173w,donna,decollete,decollete,notte,97.93,139.9,30.0,Melluso
Décolleté donna aperto ai lati in pelle nero e5133,e5133,donna,decollete,decollete,nero,115.5,165.0,30.0,Melluso
Décolleté donna in camoscio nero x5222,x5222,donna,decollete,decollete,nero,101.5,145.0,30.0,Melluso
Décolleté donna in pelle blu navy d5096w,d5096w,donna,decollete,decollete,navy,81.84,129.9,36.99769053117783,Melluso
Décolleté donna slingback in tessuto rafia v311,v311,donna,decollete,decollete,rafia,149.9,149.9,0.0,Melluso
Décolleté donna in pelle nero d5186w,d5186w,donna,decollete,decollete,nero,149.9,149.9,0.0,Melluso
Décolleté donna in pelle cipria e5143w,e5143w,donna,decollete,decollete,cipria,111.93,159.9,30.0,Melluso
Décolleté donna in pelle bordo k55233w,k55233w,donna,decollete,decollete,bordo,62.93,89.9,30.000000000000004,Melluso
Décolleté donna in pelle nero e5115w,e5115w,donna,decollete,decollete,nero,118.93,169.9,30.0,Melluso
Mocassino donna in camoscio blu notte x5320w,x5320w,donna,decollete,mocassino,notte,108.5,155.0,30.0,Melluso
Décolleté donna in pelle blu notte d100z,d100z,donna,decollete,decollete,notte,129.9,129.9,0.0,Melluso
Sneakers donna in camoscio e pelle blu r25542w,r25542w,donna,sneakers,sneakers,blu,104.93,149.9,30.0,Melluso
