Info,Nome,Sesso,Categoria,Sotto_categoria,Colore,Prezzo_finale,Prezzo_originale
Slingback A3665 Spazzolato Argento,A3665,donna,sandali,Slingback,Argento,35.0,74.9
Sandalo con tacco A6726 Suede Arancio,con,donna,sandali,Sandalo,Arancio,99.9,99.9
Sandalo con tacco A6726 Suede Fuxia,con,donna,sandali,Sandalo,Fuxia,99.9,99.9
Sandalo con tacco A6726 Nero,con,donna,sandali,Sandalo,Nero,99.9,99.9
Sandalo con tacco A6726 Platino,con,donna,sandali,Sandalo,Platino,99.9,99.9
Sandalo con tacco A6725 Rame,con,donna,sandali,Sandalo,Rame,99.9,99.9
Sandalo con tacco A6725 Argento,con,donna,sandali,Sandalo,Argento,99.9,99.9
Sandalo con tacco A6710 Giallo,con,donna,sandali,Sandalo,Giallo,99.9,99.9
Sandalo con tacco A6711 Fuxia,con,donna,sandali,Sandalo,Fuxia,99.9,99.9
Sandalo con tacco A6712 Nero Bianco,con,donna,sandali,Sandalo,Bianco,99.9,99.9
Sandalo con tacco A6712 Arancio,con,donna,sandali,Sandalo,Arancio,99.9,99.9
Sandalo con tacco A6713 Argento,con,donna,sandali,Sandalo,Argento,99.9,99.9
Sandalo con tacco A6713 Pitone Oro,con,donna,sandali,Sandalo,Oro,99.9,99.9
Sandalo con tacco A3660 Nero,con,donna,sandali,Sandalo,Nero,37.45,74.9
Sandalo con tacco A3660 Nude,con,donna,sandali,Sandalo,Nude,37.45,74.9
Sandalo con tacco A955 Fuxia,con,donna,sandali,Sandalo,Fuxia,60.0,84.9
Sandalo con tacco A955 Nero Bianco,con,donna,sandali,Sandalo,Bianco,60.0,84.9
Sandalo con tacco A955 Acquamarina,con,donna,sandali,Sandalo,Acquamarina,60.0,84.9
Sandalo con tacco A1010 Nero,con,donna,sandali,Sandalo,Nero,70.0,89.9
Sandalo con tacco A1010 Fuxia,con,donna,sandali,Sandalo,Fuxia,70.0,89.9
Sandalo con tacco A1011 Nero,con,donna,sandali,Sandalo,Nero,75.0,99.9
Sandalo con tacco A1011 Rosa Verde,con,donna,sandali,Sandalo,Verde,75.0,99.9
Sandalo con tacco A1011 Cuoio,con,donna,sandali,Sandalo,Cuoio,75.0,99.9
Sandalo con tacco A959 Oro,con,donna,sandali,Sandalo,Oro,60.0,89.9
Sandalo con tacco A475L Camoscio Rosso,con,donna,sandali,Sandalo,Rosso,50.0,74.9
Sandalo con tacco A411 Nero,con,donna,sandali,Sandalo,Nero,40.0,84.9
Sandalo con tacco A475L Blu,con,donna,sandali,Sandalo,Blu,50.0,74.9
Sandalo con tacco A475L Nero,con,donna,sandali,Sandalo,Nero,50.0,74.9
Sandalo con tacco A475L Rosa,con,donna,sandali,Sandalo,Rosa,50.0,74.9
Sandalo con Tacco A405 Nude,con,donna,sandali,Sandalo,Nude,80.0,99.9
Sandalo con Tacco A405 Onda Platino,con,donna,sandali,Sandalo,Platino,80.0,99.9
Sandalo con Tacco A405 Onda Argento,con,donna,sandali,Sandalo,Argento,80.0,99.9
Sandalo con Tacco A405 Fuxia,con,donna,sandali,Sandalo,Fuxia,80.0,99.9
Sandalo con Tacco A405 Bianco,con,donna,sandali,Sandalo,Bianco,80.0,99.9
Sandalo con tacco A475L Celeste,con,donna,sandali,Sandalo,Celeste,50.0,74.9
Sandalo con tacco A412 Nero,con,donna,sandali,Sandalo,Nero,50.0,89.9
Sandalo con tacco A412 Oro,con,donna,sandali,Sandalo,Oro,50.0,89.9
Stringata Derby D680 Nero,Derby,donna,scarpe-basse,Stringata,Nero,79.9,79.9
Stringata Derby D165 Nero,Derby,donna,scarpe-basse,Stringata,Nero,89.9,89.9
Doppia Fibbia D169 Nabuck Marrone,Fibbia,donna,scarpe-basse,Doppia,Marrone,89.9,89.9
Doppia Fibbia D169 Nero,Fibbia,donna,scarpe-basse,Doppia,Nero,89.9,89.9
Mocassino con moschettone D11 Cavallino Bianco Nero,con,donna,scarpe-basse,Mocassino,Nero,99.9,99.9
Mocassino Penny A7 Vitello Blu,Penny,donna,scarpe-basse,Mocassino,Blu,79.9,79.9
Mocassino con moschettone D10N Nero,con,donna,scarpe-basse,Mocassino,Nero,99.9,99.9
Mocassino D10S Cuoio,D10S,donna,scarpe-basse,Mocassino,Cuoio,99.9,99.9
Mocassino D9S Blu,D9S,donna,scarpe-basse,Mocassino,Blu,89.9,89.9
Mocassino con moschettone D11 Cavallino,con,donna,scarpe-basse,Mocassino,Cavallino,99.9,99.9
Mocassino con moschettone D10N Vernice Nero,con,donna,scarpe-basse,Mocassino,Nero,99.9,99.9
Mocassino D9S Abrasivato Nero,D9S,donna,scarpe-basse,Mocassino,Nero,89.9,89.9
